Rk;Jogador;Equipe;Minutos jogados;Taxa de acerto total;Pontos de 3 convertidos;Pontos de 3 tentados;Taxa de acerto de 3 pontos;Rebotes;Assistencias;Pontos por jogo
1;Joel Embiid;PHI;33.6;.529;1.4;3.6;.388;11.0;5.6;34.7
2;Luka Dončić;DAL;37.5;.487;4.1;10.6;.382;9.2;9.8;33.9
3;Giannis Antetokounmpo;MIL;35.2;.611;0.5;1.7;.274;11.5;6.5;30.4
4;Shai Gilgeous-Alexander;OKC;34.0;.535;1.3;3.6;.353;5.5;6.2;30.1
5;Jalen Brunson;NYK;35.4;.479;2.7;6.8;.401;3.6;6.7;28.7
6;Devin Booker;PHO;36.0;.492;2.2;6.1;.364;4.5;6.9;27.1
7;Kevin Durant;PHO;37.2;.523;2.2;5.4;.413;6.6;5.0;27.1
8;Jayson Tatum;BOS;35.7;.471;3.1;8.2;.376;8.1;4.9;26.9
9;De'Aaron Fox;SAC;35.9;.465;2.9;7.8;.369;4.6;5.6;26.6
10;Donovan Mitchell;CLE;35.3;.462;3.3;9.0;.368;5.1;6.1;26.6
11;Stephen Curry;GSW;32.7;.450;4.8;11.8;.408;4.5;5.1;26.4
12;Nikola Jokić;DEN;34.6;.583;1.1;2.9;.359;12.4;9.0;26.4
13;Anthony Edwards;MIN;35.1;.461;2.4;6.7;.357;5.4;5.1;25.9
14;Tyrese Maxey;PHI;37.5;.450;3.0;8.1;.373;3.7;6.2;25.9
15;LeBron James;LAL;35.3;.540;2.1;5.1;.410;7.3;8.3;25.7
16;Trae Young;ATL;36.0;.430;3.2;8.7;.373;2.8;10.8;25.7
17;Kyrie Irving;DAL;35.0;.497;3.0;7.3;.411;5.0;5.2;25.6
18;Ja Morant;MEM;35.3;.471;1.6;5.7;.275;5.6;8.1;25.1
19;Anthony Davis;LAL;35.5;.556;0.4;1.4;.271;12.6;3.5;24.7
20;Damian Lillard;MIL;35.3;.424;3.0;8.5;.354;4.4;7.0;24.3
21;DeMar DeRozan;CHI;37.8;.480;0.9;2.8;.333;4.3;5.3;24.0
22;Julius Randle;NYK;35.4;.472;1.7;5.3;.311;9.2;5.0;24.0
23;LaMelo Ball;CHO;32.3;.433;3.2;9.0;.355;5.1;8.0;23.9
24;Desmond Bane;MEM;34.4;.464;3.3;8.6;.381;4.4;5.5;23.7
