Team;ATL;BOS;BRK;CHI;CHO;CLE;DAL;DEN;DET;GSW;HOU;IND;LAC;LAL;MEM;MIA;MIL;MIN;NOP;NYK;OKC;ORL;PHI;PHO;POR;SAC;SAS;TOR;UTA;WAS
Atlanta Hawks;;2 x 2;1 x 3;1 x 2;1 x 3;1 x 3;0 x 2;0 x 2;3 x 0;1 x 1;2 x 0;0 x 4;1 x 1;1 x 1;1 x 1;1 x 3;1 x 2;1 x 1;1 x 1;1 x 2;1 x 1;3 x 1;2 x 2;1 x 1;1 x 1;0 x 2;2 x 0;2 x 2;1 x 1;3 x 1
Boston Celtics;2 x 2;;4 x 0;3 x 0;2 x 1;2 x 1;2 x 0;0 x 2;3 x 0;1 x 1;2 x 0;3 x 2;1 x 1;1 x 1;2 x 0;3 x 0;2 x 2;1 x 1;2 x 0;4 x 1;1 x 1;2 x 1;3 x 1;2 x 0;2 x 0;2 x 0;2 x 0;4 x 0;2 x 0;4 x 0
Brooklyn Nets;3 x 1;0 x 4;;3 x 0;1 x 2;1 x 3;0 x 2;0 x 2;3 x 1;0 x 2;1 x 1;1 x 2;1 x 1;1 x 1;1 x 1;2 x 2;0 x 3;0 x 2;0 x 2;0 x 4;1 x 1;2 x 2;2 x 2;1 x 1;0 x 2;0 x 2;1 x 1;3 x 1;1 x 1;3 x 1
Chicago Bulls;2 x 1;0 x 3;0 x 3;;4 x 0;1 x 3;0 x 2;0 x 2;2 x 2;1 x 1;1 x 1;3 x 1;0 x 2;1 x 1;2 x 0;2 x 2;1 x 3;2 x 0;2 x 0;1 x 3;0 x 2;0 x 4;2 x 1;0 x 2;2 x 0;1 x 1;3 x 0;2 x 2;2 x 0;2 x 1
Charlotte Hornets;3 x 1;1 x 2;2 x 1;0 x 4;;2 x 1;0 x 2;0 x 2;0 x 3;0 x 2;0 x 2;2 x 2;0 x 2;0 x 2;2 x 0;0 x 4;0 x 4;1 x 1;0 x 2;0 x 4;0 x 2;1 x 3;0 x 4;0 x 2;1 x 1;1 x 1;1 x 1;1 x 3;1 x 1;2 x 2
Cleveland Cavaliers;3 x 1;1 x 2;3 x 1;3 x 1;1 x 2;;2 x 0;1 x 1;4 x 0;2 x 0;1 x 1;2 x 2;1 x 1;0 x 2;2 x 0;1 x 3;2 x 2;1 x 1;1 x 1;1 x 2;0 x 2;2 x 2;2 x 2;0 x 2;1 x 1;1 x 1;2 x 0;2 x 1;2 x 0;4 x 0
Dallas Mavericks;2 x 0;0 x 2;2 x 0;2 x 0;2 x 0;0 x 2;;1 x 2;1 x 1;3 x 1;3 x 1;0 x 2;1 x 2;2 x 1;2 x 2;2 x 0;0 x 2;1 x 3;2 x 2;2 x 0;1 x 3;2 x 0;1 x 1;2 x 1;4 x 0;2 x 2;4 x 0;1 x 1;3 x 1;2 x 0
Denver Nuggets;2 x 0;2 x 0;2 x 0;2 x 0;2 x 0;1 x 1;2 x 1;;2 x 0;4 x 0;1 x 3;2 x 0;2 x 2;3 x 0;4 x 0;2 x 0;1 x 1;2 x 2;2 x 1;1 x 1;1 x 3;0 x 2;1 x 1;1 x 2;4 x 0;1 x 3;3 x 1;2 x 0;3 x 1;2 x 0
Detroit Pistons;0 x 3;0 x 3;1 x 3;2 x 2;3 x 0;0 x 4;1 x 1;0 x 2;;0 x 2;0 x 2;0 x 4;0 x 2;0 x 2;0 x 3;0 x 4;0 x 4;0 x 2;0 x 2;0 x 3;1 x 1;0 x 4;0 x 4;0 x 2;1 x 1;1 x 1;0 x 2;2 x 1;0 x 2;2 x 2
Golden State Warriors;1 x 1;1 x 1;2 x 0;1 x 1;2 x 0;0 x 2;1 x 3;0 x 4;2 x 0;;3 x 0;1 x 1;1 x 3;3 x 1;2 x 1;1 x 1;1 x 1;0 x 3;1 x 2;1 x 1;1 x 3;2 x 0;2 x 0;1 x 3;4 x 0;2 x 2;3 x 1;1 x 1;4 x 0;2 x 0
Houston Rockets;0 x 2;0 x 2;1 x 1;1 x 1;2 x 0;1 x 1;1 x 3;3 x 1;2 x 0;0 x 3;;0 x 2;1 x 2;2 x 2;3 x 1;0 x 2;1 x 1;0 x 3;2 x 2;1 x 1;2 x 2;1 x 1;0 x 2;2 x 2;3 x 1;3 x 0;3 x 1;1 x 1;3 x 1;2 x 0
Indiana Pacers;4 x 0;2 x 3;2 x 1;1 x 3;2 x 2;2 x 2;2 x 0;0 x 2;4 x 0;1 x 1;2 x 0;;1 x 1;1 x 1;1 x 1;2 x 1;4 x 1;0 x 2;1 x 1;2 x 1;2 x 0;1 x 2;2 x 1;1 x 1;0 x 2;1 x 1;1 x 1;2 x 2;1 x 1;2 x 1
Los Angeles Clippers;1 x 1;1 x 1;1 x 1;2 x 0;2 x 0;1 x 1;2 x 1;2 x 2;2 x 0;3 x 1;2 x 1;1 x 1;;1 x 3;3 x 1;2 x 0;0 x 2;1 x 3;1 x 3;1 x 1;1 x 2;2 x 0;1 x 1;3 x 1;4 x 0;2 x 2;3 x 0;2 x 0;2 x 2;2 x 0
Los Angeles Lakers;1 x 1;1 x 1;1 x 1;1 x 1;2 x 0;2 x 0;1 x 2;0 x 3;2 x 0;1 x 3;2 x 2;1 x 1;3 x 1;;3 x 1;0 x 2;2 x 0;1 x 3;3 x 1;1 x 1;3 x 1;1 x 1;1 x 1;3 x 2;3 x 0;0 x 4;2 x 1;2 x 0;2 x 1;2 x 0
Memphis Grizzlies;1 x 1;0 x 2;1 x 1;0 x 2;0 x 2;0 x 2;2 x 2;0 x 4;3 x 0;1 x 2;1 x 3;1 x 1;1 x 3;1 x 3;;1 x 1;2 x 0;0 x 4;2 x 2;0 x 2;0 x 3;1 x 1;1 x 1;1 x 2;1 x 3;0 x 3;3 x 1;1 x 1;1 x 2;1 x 1
Miami Heat;3 x 1;0 x 3;2 x 2;2 x 2;4 x 0;3 x 1;0 x 2;0 x 2;4 x 0;1 x 1;2 x 0;1 x 2;0 x 2;2 x 0;1 x 1;;1 x 2;0 x 2;1 x 1;1 x 2;0 x 2;3 x 1;2 x 2;0 x 2;2 x 0;2 x 0;2 x 0;3 x 1;1 x 1;3 x 1
Milwaukee Bucks;2 x 1;2 x 2;3 x 0;3 x 1;4 x 0;2 x 2;2 x 0;1 x 1;4 x 0;1 x 1;1 x 1;1 x 4;2 x 0;0 x 2;0 x 2;2 x 1;;1 x 1;1 x 1;3 x 2;1 x 1;2 x 2;3 x 0;1 x 1;1 x 1;1 x 1;2 x 0;1 x 2;0 x 2;2 x 1
Minnesota Timberwolves;1 x 1;1 x 1;2 x 0;0 x 2;1 x 1;1 x 1;3 x 1;2 x 2;2 x 0;3 x 0;3 x 0;2 x 0;3 x 1;3 x 1;4 x 0;2 x 0;1 x 1;;2 x 2;1 x 1;2 x 2;1 x 1;1 x 1;0 x 3;4 x 0;1 x 2;3 x 1;1 x 1;4 x 0;2 x 0
New Orleans Pelicans;1 x 1;0 x 2;2 x 0;0 x 2;2 x 0;1 x 1;2 x 2;1 x 2;2 x 0;2 x 1;2 x 2;1 x 1;3 x 1;1 x 3;2 x 2;1 x 1;1 x 1;2 x 2;;2 x 0;1 x 2;0 x 2;2 x 0;1 x 2;3 x 0;5 x 0;3 x 1;2 x 0;2 x 2;2 x 0
New York Knicks;2 x 1;1 x 4;4 x 0;3 x 1;4 x 0;2 x 1;0 x 2;1 x 1;3 x 0;1 x 1;1 x 1;1 x 2;1 x 1;1 x 1;2 x 0;2 x 1;2 x 3;1 x 1;0 x 2;;0 x 2;1 x 3;3 x 1;1 x 1;2 x 0;2 x 0;1 x 1;4 x 0;1 x 1;3 x 0
Oklahoma City Thunder;1 x 1;1 x 1;1 x 1;2 x 0;2 x 0;2 x 0;3 x 1;3 x 1;1 x 1;3 x 1;2 x 2;0 x 2;2 x 1;1 x 3;3 x 0;2 x 0;1 x 1;2 x 2;2 x 1;2 x 0;;2 x 0;0 x 2;3 x 0;4 x 0;2 x 2;3 x 1;2 x 0;3 x 1;2 x 0
Orlando Magic;1 x 3;1 x 2;2 x 2;4 x 0;3 x 1;2 x 2;0 x 2;2 x 0;4 x 0;0 x 2;1 x 1;2 x 1;0 x 2;1 x 1;1 x 1;1 x 3;2 x 2;1 x 1;2 x 0;3 x 1;0 x 2;;0 x 3;1 x 1;2 x 0;0 x 2;2 x 0;3 x 0;2 x 0;4 x 0
Philadelphia 76ers;2 x 2;1 x 3;2 x 2;1 x 2;4 x 0;2 x 2;1 x 1;1 x 1;4 x 0;0 x 2;2 x 0;1 x 2;1 x 1;1 x 1;1 x 1;2 x 2;0 x 3;1 x 1;0 x 2;1 x 3;2 x 0;3 x 0;;1 x 1;1 x 1;1 x 1;2 x 0;4 x 0;1 x 1;4 x 0
Phoenix Suns;1 x 1;0 x 2;1 x 1;2 x 0;2 x 0;2 x 0;1 x 2;2 x 1;2 x 0;3 x 1;2 x 2;1 x 1;1 x 3;2 x 3;2 x 1;2 x 0;1 x 1;3 x 0;2 x 1;1 x 1;0 x 3;1 x 1;1 x 1;;3 x 1;3 x 2;1 x 3;1 x 1;4 x 0;2 x 0
Portland Trail Blazers;1 x 1;0 x 2;2 x 0;0 x 2;1 x 1;1 x 1;0 x 4;0 x 4;1 x 1;0 x 4;1 x 3;2 x 0;0 x 4;0 x 3;3 x 1;0 x 2;1 x 1;0 x 4;0 x 3;0 x 2;0 x 4;0 x 2;1 x 1;1 x 3;;1 x 2;1 x 2;2 x 0;1 x 3;1 x 1
Sacramento Kings;2 x 0;0 x 2;2 x 0;1 x 1;1 x 1;1 x 1;2 x 2;3 x 1;1 x 1;2 x 2;0 x 3;1 x 1;2 x 2;4 x 0;3 x 0;0 x 2;1 x 1;2 x 1;0 x 5;0 x 2;2 x 2;2 x 0;1 x 1;2 x 3;2 x 1;;3 x 0;2 x 0;3 x 0;1 x 1
San Antonio Spurs;0 x 2;0 x 2;1 x 1;0 x 3;1 x 1;0 x 2;0 x 4;1 x 3;2 x 0;1 x 3;1 x 3;1 x 1;0 x 3;1 x 2;1 x 3;0 x 2;0 x 2;1 x 3;1 x 3;1 x 1;1 x 3;0 x 2;0 x 2;3 x 1;2 x 1;0 x 3;;1 x 1;1 x 2;1 x 1
Toronto Raptors;2 x 2;0 x 4;1 x 3;2 x 2;3 x 1;1 x 2;1 x 1;0 x 2;1 x 2;1 x 1;1 x 1;2 x 2;0 x 2;0 x 2;1 x 1;1 x 3;2 x 1;1 x 1;0 x 2;0 x 4;0 x 2;0 x 3;0 x 4;1 x 1;0 x 2;0 x 2;1 x 1;;0 x 2;3 x 1
Utah Jazz;1 x 1;0 x 2;1 x 1;0 x 2;1 x 1;0 x 2;1 x 3;1 x 3;2 x 0;0 x 4;1 x 3;1 x 1;2 x 2;1 x 2;2 x 1;1 x 1;2 x 0;0 x 4;2 x 2;1 x 1;1 x 3;0 x 2;1 x 1;0 x 4;3 x 1;0 x 3;2 x 1;2 x 0;;2 x 0
Washington Wizards;1 x 3;0 x 4;1 x 3;1 x 2;2 x 2;0 x 4;0 x 2;0 x 2;2 x 2;0 x 2;0 x 2;1 x 2;0 x 2;0 x 2;1 x 1;1 x 3;1 x 2;0 x 2;0 x 2;0 x 3;0 x 2;0 x 4;0 x 4;0 x 2;1 x 1;1 x 1;1 x 1;1 x 3;0 x 2;
